Category,Indicator,subTitle,dataType,dataSource,dataSourceYear,description,Note,chartComment,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,201415,2015,DateUpdated,UpdatedByInitials,Order
Summary Health Measures,Years of Potential Life Lost Before Age 75,,Rate,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2000-2013,"Years of Potential Life Lost Before Age 75 (YPLL-75) is an age-adjusted rate per 100,000 of the population. It is based on the average years a person would have lived if he or she had not died before age 75.",,"The methods for calculating premature death have been updated since prior reports, and all data years have been recalculated.","  12,183 ","12,124 ","11,866 ","  11,523 ","11,310 ","11,359 ","11,635 ","11,274 ","10,548 ","9,976 ","9,820 ","9,910 ","9,822 ","9,038 ",,,,10/21/2016,mlp,1
Summary Health Measures,"Life Expectancy in Years, Male",,Count,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2000-2013,"Life expectancy at birth is the expected number of years to be lived by someone born at the time of calculation, if mortality at each age remains constant in the future.",,,68.7,69.1,69.6,69.8,70.4,70.3,70.1,70.7,71.9,72.1,72.5,71.9,72.3,73.2,,,,10/21/2016,mlp,2
Summary Health Measures,"Life Expectancy in Years, Female",,Count,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2000-2013,"Life expectancy at birth is the expected number of years to be lived by someone born at the time of calculation, if mortality at each age remains constant in the future.",,,76.4,76.6,77.0,77.3,78.0,78.2,78.9,78.9,79.4,79.8,80.2,78.9,79.3,79.3,,,,10/21/2016,mlp,3
Summary Health Measures,Poor or Fair Health,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2000-2014/15,"Percentage of adults who rate their health as ""fair"" or ""poor"" in response to the question, ""In general, would you say that your health is excellent, very good, good, fair, or poor?""",,,0.250,,0.259,,0.256,,0.287,,0.281,,0.228,,0.229,,0.236,,,8/29/2016,mlp,4
Tobacco and Alcohol,Adult Smoking Prevalence,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2000-2014/15,"Percentage of adults who have smoked at least 100 cigarettes in their lifetime and currently smoke ""every day"" or ""some days.""",,,0.259,,0.248,,0.259,,0.259,,0.273,,0.252,,0.233,,0.224,,,8/29/2016,mlp,5
Tobacco and Alcohol,"Teen Smoking Prevalence, 9th-12th Grade",,Percentage,Youth Risk Behavior Survey (YRBS),2001-2015,Percentage of 9th-12th grade students who smoked on at least one day in past 30 days.,,,,0.158,,0.139,,,,0.107,,0.108,,0.096,,0.075,,,0.072,9/25/1902,,6
Tobacco and Alcohol,"Smoking-Attributable Mortality Rate per 100,000 People",,Rate,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2004-2013,"Age-adjusted rate of deaths attributable to smoking per 100,000 adults 35 years and older. This measure is based on CDC's [Smoking-Attributable Mortality, Morbidity, and Economic Costs (SAMMEC)] (https://chronicdata.cdc.gov/Health-Consequences-and-Costs/Smoking-Attributable-Mortality-Morbidity-and-Econo/3kjq-j5dm/data) methodology. For more details: https://www.ncbi.nlm.nih.gov/books/NBK294316/. ",,"The methods for calculating premature death have been updated since prior reports, and all data years have been recalculated.",,,,,495.5,497.3,491.5,487.8,510.3,505.9,463.6,486.5,471.0,463.3,,,,10/21/2016,mlp,7
Tobacco and Alcohol,Secondhand Smoke Exposure at Home Among Children,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2004-2014/15,Percentage of children under 18 who live with an adult who smokes in the home.,,,,,,,0.280,,0.253,,0.231,,0.175,,0.154,,,0.137,,8/29/2016,mlp,8
Tobacco and Alcohol,Adult Binge Drinking,,Percentage,Behavioral Risk Factor Surveillance System (BRFSS),2002-2012,Percentage of adults reporting binge drinking.,,"The Centers for Disease Control and Prevention definte binge drinking as drinking 5 or more drinks on an occasion for men or 4 or more drinks on an occasion for women. Binge drinking is no longer being tracked separately and will be combined with heavy drinking beginning in 2014. Please note that data years differ across dimensions for this indicator.
",,,0.153,0.198,0.206,0.145,0.148,0.133,0.147,0.172,0.163,0.247,0.187,,,,,7/19/2016,jtd,9
Tobacco and Alcohol,Adult Excessive Drinking,,Percentage,Behavioral Risk Factor Surveillance System (BRFSS) as reported by County Health Rankings & Roadmaps,2014,Percentage of adults reporting binge or heavy drinking.,,"The Centers for Disease Control and Prevention definte binge drinking as drinking 5 or more drinks on an occasion for men or 4 or more drinks on an occasion for women and heavy drinking as drinking 15 or more drinks per week for men, or 8 or more drinks per week for women. Binge drinking is no longer being tracked separately and will be combined with heavy drinking beginning in 2014. Please note that data years differ across dimensions for this indicator.",,,,,,,,,,,,,,,0.192,,,8/19/2016,mlp,10
Tobacco and Alcohol,"Teen Binge Drinking, 9th-12th Grade",,Percentage,Youth Risk Behavior Survey (YRBS),2001-2015,Percentage of 9th-12th grade students who had 5 or more alcoholic drinks in a row within a couple hours on at least one day in past 30 days.,,Data is not available for 2005.,,0.136,,0.122,,,,0.135,,0.152,,0.152,,0.139,,,0.108,9/25/1902,,11
Obesity,"Child Obesity Prevalence, 5-18 Years of Age",,Percentage,School District of Philadelphia,2007-2014,"Percentage of children, age 5 to 18 years, enrolled in the School District of Philadelphia (SDP) with a body mass index (BMI) greater than or equal to the 95th percentile for their age and gender group based on 2000 Centers for Disease Control growth charts. BMI data are based on nurse-measured heights and weights.",,"Data are by school year. For example, 2005 refers to the school year spanning fall 2004 and spring 2005.",,,,,,,,0.217,0.214,0.208,0.207,0.209,0.207,0.203,0.202,,,8/29/2016,mlp,12
Obesity,Adult Obesity Prevalence,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2000-2014/15,"Percentage of adults with BMI greater than or equal to 30kg/m2, based on self-reported height and weight.",,,0.252,,0.280,,0.262,,0.278,,0.291,,0.322,,0.319,,0.333,,,8/29/2016,mlp,13
Obesity,Adults Drinking ≥ 1 Sugary Drink Daily,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2010-2014/15,"Percentage of adults who drank soda, sweetened fruit drinks, and/or bottled teas at least once a day for past 30 days. Respondents were instructed “do not include diet soda/drinks.”
",,,,,,,,,,,,,0.374,,0.354,,,0.316,,8/29/2016,mlp,14
Obesity,"Teens Drinking ≥ 1 Soda Daily, 9th-12th Grade",,Percentage,Youth Risk Behavior Survey (YRBS),2007-2015,"Percentage of 9th-12th grade students who drank soda at least once a day for past 30 days. Respondents were instructed “Do not count diet soda or diet pop.”
",,"Examples provided to respondents included Coke, Pepsi, and Sprite.",,,,,,,,0.311,,0.280,,0.250,,0.237,,,0.216,9/25/1902,mlp,15
Cardiovascular Disease and Diabetes,"Premature Cardiovascular Disease (CVD) Mortality Rate per 100,000 People",,Rate,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2000-2013,"Age-adjusted rate per 100,000 persons of CVD deaths to persons under 65 years of age.",,,66.1,67.7,65.3,62.0,60.3,61.9,62.0,62.3,57.7,56.3,56.2,55.9,51.5,59.6,,,,10/21/2016,mlp,16
Cardiovascular Disease and Diabetes,Adult Hypertension Prevalence,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2000-2014/15,Percentage of adults who have been told by a doctor or other health professional that they have high blood pressure or hypertension. Excludes respondents with a history of gestational hypertension only.,,,0.313,,0.327,,0.296,,0.340,,0.357,,0.359,,0.375,,,0.382,,8/29/2016,mlp,17
Cardiovascular Disease and Diabetes,Adult Diabetes Prevalence,,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2000-2014/15,Percentage of adults who have been told by a doctor or other health professional that they have or have had diabetes. Excludes respondents with a history of gestational diabetes only.,,,0.094,,0.101,,0.109,,0.120,,0.130,,0.134,,0.160,,,0.154,,8/29/2016,mlp,18
HIV,"New HIV Diagnoses per 100,000 People",,Rate,"AIDS Activities Coordinating Office, Philadelphia Department of Public Health",2006-2015,"Rate of new HIV diagnoses per 100,000 of the population.",,,,,,,,,61.2,59.9,60.9,58.9,47.8,44.2,47.8,44.2,,37.1,35.3,9/19/2016,mlp,19
HIV,New HIV Diagnoses from Male-to-Male Sexual Contact,,Count,"AIDS Activities Coordinating Office, Philadelphia Department of Public Health",2006-2015,Count of new HIV diagnoses from male-to-male sexual contact.,,,,,,,,,252,281,305,333,305,286,300,332,291,,304,8/30/2016,mlp,20
HIV,New HIV Diagnoses from Heterosexual Contact,,Count,"AIDS Activities Coordinating Office, Philadelphia Department of Public Health",2006-2015,Count of new HIV diagnoses from heterosexual contact.,,Data not available for Heterosexual Contact for 2009.,,,,,,,459,547,447,,316,313,313,250,225,,189,8/30/2016,mlp,21
HIV,New HIV Diagnoses from Injection Drug Use,,Count,"AIDS Activities Coordinating Office, Philadelphia Department of Public Health",2006-2015,Count of new HIV diagnoses from injection drug use.,,,,,,,,,209,150,127,103,76,70,83,40,40,,30,8/30/2016,mlp,22
HIV,Retention in HIV/AIDS Care,,Percentage,"AIDS Activities Coordinating Office, Philadelphia Department of Public Health",2011-2015,"Percentage of persons living with diagnosed HIV having had 2 or more CD4 or viral load test results, at least 3 months apart, during a 12 month period.",,,,,,,,,,,,,,0.445,0.471,0.473,0.474,,0.500,8/30/2016,mlp,23
HIV,Viral Suppression,,Percentage,"AIDS Activities Coordinating Office, Philadelphia Department of Public Health",2011-2015,"Percentage of persons diagnosed living with HIV, who were alive at year end and had a viral load < 200 at most recent test. Persons diagnosed living with HIV whose viral load was not assessed were considered unsuppressed.",,,,,,,,,,,,,,0.456,0.500,0.506,0.511,,0.538,8/30/2016,mlp,24
HIV,"Adults Never Tested for HIV, 18-39 Years of Age",,Percentage,Public Health Management Corporation (PHMC) Household Health Survey,2000-2014/15,"Percentage of adults, age 18-39 years old, reporting ""never"" to the question, ""The next question is about the test for HIV, the virus that causes AIDS. About how long has it been since you last had a test for HIV? Would you say one year or less, more than one year, up to two years, more than 2 years, or never?""",,,0.369,,0.363,,0.349,,0.293,,0.263,,0.238,,0.232,,,0.256,,8/29/2016,mlp,25
Teen Sexual Health,"Teens Who Are Currently Sexually Active, 9th-12th Grade",,Percentage,Youth Risk Behavior Survey (YRBS),2001-2015,Percentage of 9th-12th grade students who reported having had sexual intercourse during the past 3 months.,,Data are not available for 2005.,,0.421,,0.476,,,,0.445,,0.465,,0.449,,0.377,,,0.372,7/1/2016,mlp,26
Teen Sexual Health,"Teens Who Used Condom with Last Sexual Encounter, 9th-12th Grade",,Percentage,Youth Risk Behavior Survey (YRBS),2001-2015,Percentage of sexually active 9th-12th grade students who reported using a condom during the most recent sexual intercourse. Respondents are considered sexually active if they report intercourse with at least one person in the three months preceding the survey.,,Data are not available for 2005.,,0.643,,0.702,,,,0.644,,0.628,,0.596,,0.578,,,0.559,7/1/2016,mlp,27
Teen Sexual Health,"Teens Who Used Birth Control with Last Sexual Encounter, 9th-12th Grade",,Percentage,Youth Risk Behavior Survey (YRBS),2001-2015,Percentage of sexually active 9th-12th grade students who used some form of birth control during the most recent sexual intercourse. Respondents are considered sexually active if they report intercourse with at least one person in the three months preceding the survey.,,Data are not available for 2005.,,0.836,,0.854,,,,0.810,,0.805,,0.788,,0.792,,,0.829,7/1/2016,mlp,28
Teen Sexual Health,"Teen Births per 1,000 Teen Girls, 15-19 Years of Age",,Rate,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2003-2013,"Birth rate per 1,000 teen girls age 15-19 years.",,,,,,59.1,57.9,58.5,59.8,59.5,57.1,53.7,50.5,49.1,47.2,38.4,,,,10/21/2016,mlp,29
Teen Sexual Health,"Teen Chlamydia Rate per 100,000 Teens, 15-19 Years of Age",,Rate,"Division of Disease Control, Philadelphia Department of Public Health",2000-2015,"Diagnosed chlamydia infection rate per 100,000 teens age 15-19 years.",,,"  4,785.0 ","  4,747.0 ","  5,272.8 ","  6,707.3 ","  6,146.3 ","  5,823.8 ","  6,325.2 ","  6,363.1 ","  6,484.1 ","  7,000.8 ","  7,024.7 ","  7,014.6 ","  6,610.5 ","  5,916.5 ","  5,135.4 ",,"  4,837.0 ",9/19/2016,mlp,30
Teen Sexual Health,"Teen Gonorrhea Rate per 100,000 Teens, 15-19 Years of Age",,Rate,"Division of Disease Control, Philadelphia Department of Public Health",2000-2015,"Diagnosed gonorrhea infection rate per 100,000 teens age 15-19 years.",,,"  2,073.2 ","  2,044.2 ","  2,015.3 ","  1,598.0 ","  1,332.4 ","  1,389.3 ","  1,315.3 ","  1,377.6 ","  1,414.6 ","  1,392.0 ","  1,798.0 ","  1,966.2 ","  1,834.4 ","  1,418.6 ","  1,235.0 ",,"  1,217.3 ",9/19/2016,mlp,31
Maternal and Infant Health,"Infant Mortality Rate per 1,000 Live Births",,Rate,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2000-2013,"Mortality rate per 1,000 live-born infants under one year of age.",,,10.3,10.8,10.6,10.7,10.5,11.3,11.2,11.4,10.0,9.8,10.7,9.3,10.1,8.2,,,,10/21/2016,mlp,32
Maternal and Infant Health,Low Birth Weight Births,,Percentage,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2009-2013,"Percentage of live-born infants weighing less than 2,500 grams - or 5 pounds 8 ounces - at birth.",,,,,,,,,,,,0.112,0.109,0.113,0.104,0.107,,,,10/21/2016,mlp,33
Maternal and Infant Health,Late or No Prenatal Care,,Percentage,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2003-2013,"Percentage of women who received prenatal care either in the third trimester or not at all, out of all women giving birth within the year, for whom the timing of prenatal care is known.",,,,,,0.119,0.117,0.118,0.130,0.132,0.143,0.155,0.155,0.131,0.122,0.139,,,,10/21/2016,mlp,34
Maternal and Infant Health,Breastfeeding Initiation,,Percentage,"Vital Statistics for Philadelphia, Pennsylvania Department of Health",2009-2013,"Percentage of women initiating breastfeeding before hospital discharge, out of all women for whom breastfeeding status is known.",,"The methods for calculating breastfeeding initiation have been updated since prior reports, and all data years have been recalculated.",,,,,,,,,,0.616,0.604,0.623,0.667,0.714,,,,10/21/2016,mlp,35
Child Health,"Children Up to Date on Immunizations, 19-35 Months of Age",,Percentage,"Division of Disease Control, Philadelphia Department of Public Health",2000-2015,"Percentage of children, age 19-35 months, who have completed the recommended vaccination schedule 4:3:1:3 (DTaP : IPV : MMR : Hib).",,,0.451,0.530,0.628,0.670,0.660,0.674,0.714,0.673,0.652,0.691,0.747,0.749,0.798,0.804,0.777,,0.761,9/19/2016,mlp,36
